arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
45,José Miguel Nobre Ferreira,NA,1998,2019,PRT,1936,0,1,0,0,1,"fédération portugaise de rugby,Comité National Olympique Portugais","199,835, 942",2,1998-10-09,2006-03-02,TRUE,83,21
46,Louis Dallèves,NA,1998,2001,CHE,1935,0,0,1,0,0,NA,"126,246,319",3,1998-12-09,2001-10-17,TRUE,66,3
47,Maria Zuchowicz,NA,1998,2019,POL,1930,1,1,0,0,1,Polish Skating Association,"918,1419,1755,2043,3074,OG 98-002,OG 98-004-005,1915",8,1998-02-18,2013-09-19,TRUE,89,21
48,Olivier Carrard,NA,1998,NA,CHE,1956,0,1,0,0,1,"CMS Von Erlach Poncet AG,la Fédération suisse d'escrime","175,213,212,203,192,185,289,431,395,358,482,969,965,1119,1429, 1442,1368,1252,1630,1558, 1578,1495,1881,1880, 1881,1756,2306,2104,2203, 2214,2101,OG 10-004,2317, 2323,2585,2495-2498,2476,2699,2731,3375,3271,3652,4069,4057,4899,4693,4417, 4419, 4420,5219,4944,5711,6072,6421,7507,7506,7065,222,343,318,378,769,997,918,896,1095,1577,1745,1583, 1584,1533,1963,1968,2289,2308, 2335,2216,2141, 2142,2141, 2142-IA,2284,2119,2058,2305,2112,2098,2528,2325,3027,3560,3508,3910,4492,4377,5099,6001,5751,6210, 6277,6525,442,902, 903,916,916-O2,1268,1267,1688,1675,1594,1869,1895,1895-PA,1828, 1829,2117,2961,2802,2986,2862,3372,3264,3233,3706,3505,3775,3745,3586,4178,4851,4843,4468,5402,5501,6623,6954,6696,7919,7592,7538",127,1998-04-15,2022-04-22,FALSE,NA,NA
49,Paul Mauriac,NA,1998,NA,FRA,1943,0,1,1,0,0,NA,"2862,3544,3953, 3954,175",4,1998-04-15,2015-11-30,FALSE,NA,NA
50,Pierre Lalive,Pierre Lalive d'Epinay,1998,2007,CHE,1923,0,1,1,0,0,NA,"199,253,388,410,1154",5,1998-10-09,2007-03-28,TRUE,84,9
51,Richard McLaren,NA,1998,NA,CAN,1945,0,1,1,0,0,McKenzie Lake,"OG 98-001,223,281,OG 00-006,OG 00-012,399,376,507,452,607,990,990-O,831,1067,1396, 1402,1396, 1402-IA,1348,OG 08-008, 009,1490,1488,1461, 1462,1817, 1844,2162,2398,2398-PA,3029,2843,3050,3759-PA,6001,OG 00-015,OG 00-002,727,OG 04-007,1427,1630,1783,2226,2357,2353,2696,3151,3820,4439,7579, 7580,OG 98-003,267,400,374,OG 04-004,OG 04-009,OG 06-008,OG 06-004,OG 08-001,1931,2658,2422,3170,4309,4127",60,1998-02-09,2021-09-16,FALSE,NA,NA
52,Richard R. Young,NA,1998,2007,USA,1950,0,1,0,0,0,NA,"184,OG 00-006,389-393,373,OG 98-002,OG 00-015,OG 00-012",7,1998-02-21,2003-12-18,TRUE,57,9
53,Christian Krähe,NA,1999,2008,DEU,1947,0,1,1,0,0,NA,"222,340,922, 923, 926,1057,1290",5,1999-08-09,2008-01-04,TRUE,61,9
54,Christoph Vedder,NA,1999,NA,DEU,1947,0,0,1,0,1,NA,"200,362,262,1655,1654,1585, 1586,1572, 1632, 1659,1458-PA,1915,1776,3077,4777,4626,5474,5473,5472,5471,5470,5469,5468,5446,5445,5441,5440,5439,5438,5437,5436,5433,5432,5431,5430,5429,5428,5427,5426,5425,5424,5423,5422,5380,5379,5301, 5302,5061,4974,4973,5511,5510,5509,5508,5507,5506,5505,5504,5503,5502",56,1999-08-20,2018-06-08,FALSE,NA,NA
55,David H. Bloom,David Harold Bloom,1999,2019,AUS,1948,0,1,0,0,0,NA,"1291,A2-99",2,1999-09-02,2007-12-21,TRUE,71,20
56,Dirk-Reiner Martens,NA,1999,2019,DEU,1942,0,1,1,0,0,NA,"400,389-393,374,OG 02-005,OG 02-003,OG 04-003,704,829,889,1165,1332,2605,2604,3104,3052,3946,3894,4615,4787,6186,200,246,JO 00-004,OG 00-008,OG 00-005,OG 00-003,OG 00-001,OG 00-014,376,370,410,482,486,714,676,OG 06-002,1426,1286, 1288, 1289,1644,1607,1931,1926, 1930,2091,2178,2101,3629,4189,4511,4654,5474,5473,5472,5471,5470,5469,5468,5446,5445,5441,5440,5439,5438,5437,5436,5433,5432,5431,5430,5429,5428,5427,5426,5425,5424,5423,5422,5380,5379,5511,5510,5509,5508,5507,5506,5505,5504,5503,5502,317,281,345,343,337,357,385,OG 02-006,422,OG 04-005,726,876,990,990-O,1051,OG 06-006,1557,1557-O,1557-R,2014,1910,2104,2141, 2142,2141, 2142-IA,2275,2058,2621,2525,2469-PA,2337,2436,2957,2756,3278,3163,3058,3453,3062,3272,3523,4083,4137,4482,4919,5017,5628",134,1999-08-20,2019-07-12,TRUE,77,20
57,Francesco Geli Simon,NA,1999,2001,ESP,NA,0,NA,NA,NA,NA,NA,209,1,1999-01-06,1999-01-06,TRUE,NA,2
58,Malcolm Holmes,Malcom Holmes,1999,NA,AUS,1948,0,1,0,0,0,NA,"305,361,OG 06-001,1948,2216,2315,OG 04-003,1603,A2-2011,A3, A4-99,284,260,884,1664,1452,1574,3285,3452,3738,3473",20,1999-08-02,2015-06-02,FALSE,NA,NA
59,Mirko Ilesic,NA,1999,2001,SVN,1950,0,0,1,0,0,NA,222,1,1999-08-09,1999-08-09,TRUE,51,2
60,Olli Rauste,NA,1999,NA,FIN,1963,0,1,0,0,0,NA,"748,2090,3604,5016, 5036,OG 02-007,OG 02-005,OG 02-002,OG 02-001,2972,215",10,1999-01-04,2017-12-18,FALSE,NA,NA
61,Stephen Townley,NA,1999,NA,GBR,1952,0,1,0,0,0,NA,209,1,1999-01-06,1999-01-06,FALSE,NA,NA
62,Walter Seitz,NA,1999,2019,DEU,1938,0,0,1,0,0,NA,"262,209,3863",3,1999-01-06,2015-08-25,TRUE,81,20
63,Yves Fortier,NA,1999,2022,CAN,1937,0,1,0,1,0,NA,"725,1545,1545-PA,1752, 1753,690,951,211,312,310,274,OG 02-003,401,448,649,645,OG 10-004,2804,3361,3279",19,1999-06-07,2014-05-02,TRUE,85,23
64,Alan Sullivan,NA,2000,NA,AUS,1951,0,1,0,0,0,NA,"1168,1664,1591, 1592, 1616,1500,1914,OG 12-010,3437,305,361,1028,1311,1605,1574,1561,OG 08-003,2001,3738,1540,OG 08-005,1948,2495-2498,2590,OG 12-003,4803, 4804, 4983,4770,A1-2016,5477",27,2000-10-24,2018-10-12,FALSE,NA,NA
65,Bola Ajibola,Bola A. Ajibola,2000,2014,NGA,1934,0,0,0,0,0,NA,"OG 00-012,OG 00-009,2380",3,2000-09-25,2011-11-21,TRUE,80,14
